,gamma,A,beta,dv,dtheta,Pwin
45,1.05,0.448,5.2,-0.03891518359489632,-0.47813939351890156,0
46,1.05,0.448,5.2,-0.03948023927124389,-0.02440360426196264,0
47,1.05,0.448,5.2,-0.04175927083727457,-0.3717813308105775,0
48,1.05,0.448,5.2,-0.03699784902919809,-0.34232582081631335,0
49,1.05,0.448,5.2,-0.030846339029024616,-1.161170418939605,0
50,1.05,0.448,5.2,-0.047170526004633534,0.38448379965515755,0
51,1.05,0.448,5.2,-0.03272180031748284,-0.3717556007580072,0
52,1.05,0.448,5.2,-0.0368483395842793,-0.43839994478527444,0
53,1.05,0.448,5.2,-0.03292360242718623,-0.40479923864600664,0
54,1.05,0.448,5.2,-0.034197592987121744,-0.7110684379148182,1
55,1.05,0.448,5.2,-0.032695600925352564,-1.1812050102529952,0
56,1.05,0.448,5.2,-0.03548498944446751,-1.5059351292315455,0
57,1.05,0.448,5.2,-0.03389133947675685,-0.7323589175049392,0
58,1.05,0.448,5.2,-0.029494271275818384,-1.5616150519865784,0
59,1.05,0.448,5.2,-0.03719904500389348,-1.903521845321464,0
60,1.05,0.448,5.2,-0.04212484895873461,0.4838333665290264,0
61,1.05,0.448,5.2,-0.040969305813346124,-0.42792387421479816,0
62,1.05,0.448,5.2,-0.04721445776539818,1.003341977104938,0
63,1.05,0.448,5.2,-0.029892949914835543,-1.435295655025456,0
64,1.05,0.448,5.2,-0.03204092602846784,-1.3111642823715641,1
65,1.05,0.448,5.2,-0.045444944910602414,-0.05698729366912403,1
66,1.05,0.448,5.2,-0.046139315751051346,0.7409697316059436,0
67,1.05,0.448,5.2,-0.03802015204052192,-0.35261545936818095,0
68,1.05,0.448,5.2,-0.04185762301761073,0.623429916295251,0
69,1.05,0.448,5.2,-0.02611054123143522,-1.3082967736423115,0
70,1.05,0.448,5.2,-0.03863002240630342,-0.523070542846412,0
71,1.05,0.448,5.2,-0.02849363087585796,-2.070021392916175,1
72,1.05,0.448,5.2,-0.04663357608973137,1.3117391794065725,1
