,gamma,A,beta,dv,dtheta,Pwin
59,1.05,0.448,5.2,-0.03482262608806472,-0.73593675418104,1
60,1.05,0.448,5.2,-0.03317306470103212,-1.4786155988475826,1
61,1.05,0.448,5.2,-0.04875880194722121,1.052143478325803,1
62,1.05,0.448,5.2,-0.03111521601021902,-1.3035542338096917,0
63,1.05,0.448,5.2,-0.03753755608510481,-0.972562522899679,0
64,1.05,0.448,5.2,-0.04013802511232112,-0.6265731440439595,0
65,1.05,0.448,5.2,-0.04898149516701905,-0.2850375598467849,0
66,1.05,0.448,5.2,-0.03272543012039786,-1.1312831966477006,1
67,1.05,0.448,5.2,-0.02682645511853679,-1.664804890008213,1
68,1.05,0.448,5.2,-0.03705657075448454,0.2996423404881625,1
69,1.05,0.448,5.2,-0.049236988811153876,0.9869856725891566,0
70,1.05,0.448,5.2,-0.038951471831428025,-0.1319552850100365,0
71,1.05,0.448,5.2,-0.03933406212819368,-0.41625588009580383,1
72,1.05,0.448,5.2,-0.046022742221084795,0.8941607658599366,1
73,1.05,0.448,5.2,-0.03913350259445578,-1.2203364422729521,1
74,1.05,0.448,5.2,-0.04443016123362456,0.20297235787468537,1
75,1.05,0.448,5.2,-0.03924116973016131,0.06015933046617761,0
76,1.05,0.448,5.2,-0.04150446369121588,-0.6452618581394063,0
77,1.05,0.448,5.2,-0.04138485277036866,-0.28944677685818476,1
78,1.05,0.448,5.2,-0.04527177008261185,0.8311331430799385,0
79,1.05,0.448,5.2,-0.031175129023158166,-2.138582456587372,0
80,1.05,0.448,5.2,-0.031375315600514514,-1.5122753988587476,1
81,1.05,0.448,5.2,-0.045939441269068154,0.8801946537417109,0
82,1.05,0.448,5.2,-0.03731738183235367,-0.455263029062408,1
83,1.05,0.448,5.2,-0.03305361734771256,-0.8868354798586466,1
84,1.05,0.448,5.2,-0.043911454469978406,0.23270986458967968,1
85,1.05,0.448,5.2,-0.03199138046544828,-1.096777971980572,1
86,1.05,0.448,5.2,-0.02959324603004479,-1.8791431849080453,0
87,1.05,0.448,5.2,-0.03697197037427591,-0.6213716574102932,0
88,1.05,0.448,5.2,-0.0431329732748664,0.6603501820819844,0
89,1.05,0.448,5.2,-0.0313843201782083,-1.0874088209651802,0
90,1.05,0.448,5.2,-0.03680442592139363,-0.7662100603561868,1
